date,personal_income,disposable_income,real_disposable_income,personal_consumption,personal_saving,saving_rate,compensation,wages_salaries,private_wages,govt_wages,supplements,proprietors_income,farm_income,nonfarm_income,rental_income,interest_income,dividend_income,transfer_receipts,social_security,medicare,medicaid,unemployment,veterans,social_contributions,personal_taxes,population,dpi_per_capita
1964-09-30,536.3,484.2,2961.1,416.6,57.1,11.8,382.3,343.4,277.3,66.1,38.9,59.7,9.5,50.2,18.9,46.0,18.5,33.6,31.3,,,2.7,4.4,22.6,52.1,192504.0,2515.0
1964-10-31,536.9,484.3,2960.2,419.6,54.2,11.2,382.3,343.3,276.9,66.4,39.0,59.9,10.1,49.8,18.8,46.2,18.6,33.6,31.3,,,2.7,4.4,22.5,52.6,192739.0,2513.0
1964-11-30,541.3,488.1,2979.4,416.4,61.1,12.5,385.9,346.5,279.7,66.8,39.4,60.5,10.4,50.0,18.8,46.6,18.8,33.5,31.3,,,2.6,4.4,22.8,53.2,192943.0,2530.0
1964-12-31,547.5,493.5,3008.0,421.0,61.8,12.5,390.1,350.3,283.2,67.1,39.8,61.2,10.8,50.4,18.8,46.9,19.2,34.1,31.8,,,2.6,4.5,22.9,53.9,193131.0,2555.0
1965-01-31,551.5,495.0,3013.8,424.4,59.9,12.1,390.7,350.9,283.8,67.1,39.8,61.5,11.2,50.2,19.1,47.3,19.1,36.6,34.3,,,2.5,7.1,22.8,56.5,193308.0,2561.0
1965-02-28,552.0,495.4,3014.5,431.4,53.2,10.7,393.0,352.8,285.4,67.4,40.1,61.9,11.5,50.4,19.1,47.7,19.2,34.2,31.8,,,2.5,4.6,22.9,56.7,193467.0,2560.0
1965-03-31,555.4,497.7,3024.6,433.3,53.5,10.8,395.1,354.7,286.9,67.8,40.4,62.5,11.6,50.9,19.1,48.1,19.3,34.3,32.0,,,2.5,4.5,23.0,57.8,193625.0,2570.0
1965-04-30,558.6,499.0,3027.8,437.1,50.8,10.2,396.9,356.2,288.1,68.1,40.7,62.8,11.7,51.0,19.3,48.5,19.5,34.7,32.4,,,2.5,4.8,23.1,59.6,193799.0,2575.0
1965-05-31,562.9,505.6,3061.4,437.6,56.8,11.2,400.5,359.5,290.9,68.5,41.1,63.2,12.0,51.2,19.3,48.9,19.8,34.5,32.2,,,2.4,4.6,23.3,57.3,193988.0,2607.0
1965-06-30,566.2,507.8,3065.8,435.2,61.3,12.1,402.4,361.0,292.0,69.0,41.4,63.5,12.2,51.4,19.3,49.2,20.4,34.7,32.4,,,2.4,4.5,23.3,58.4,194195.0,2615.0
1965-07-31,570.4,513.5,3097.8,441.0,61.1,11.9,405.5,363.7,293.9,69.9,41.7,63.9,12.1,51.8,19.5,49.6,20.4,34.9,32.7,,,2.3,4.8,23.4,56.9,194416.0,2641.0
1965-08-31,572.9,516.2,3113.1,444.4,60.3,11.7,408.3,366.1,295.7,70.5,42.1,63.8,12.2,51.6,19.5,49.9,20.5,34.5,32.2,,,2.3,4.5,23.6,56.8,194645.0,2652.0
1965-09-30,587.2,529.9,3194.5,452.0,66.4,12.5,411.3,368.8,297.7,71.1,42.5,64.1,12.3,51.9,19.5,50.2,20.8,45.0,42.8,,,2.3,4.7,23.7,57.3,194879.0,2719.0
1965-10-31,584.9,527.5,3178.9,458.5,57.5,10.9,416.8,373.9,301.5,72.4,42.9,64.7,12.1,52.6,19.5,50.3,21.0,36.4,34.2,,,2.3,4.6,23.9,57.4,195096.0,2704.0
1965-11-30,590.2,532.1,3201.4,459.1,61.4,11.5,420.4,377.1,304.0,73.1,43.3,65.6,12.5,53.1,19.5,50.6,21.2,37.0,34.8,,,2.2,4.6,24.0,58.1,195284.0,2725.0
1965-12-31,595.5,536.3,3214.6,461.7,62.9,11.7,424.1,380.3,306.4,73.9,43.8,66.4,13.0,53.4,19.5,51.0,21.4,37.3,35.1,,,2.2,4.9,24.2,59.3,195456.0,2744.0
1966-01-31,597.7,537.2,3216.8,465.2,60.4,11.2,429.0,382.1,308.0,74.1,46.9,68.6,14.8,53.8,19.8,51.5,21.4,37.6,35.4,,1.5,2.0,5.1,30.2,60.5,195614.0,2746.0
1966-02-28,603.1,541.7,3230.2,470.2,59.7,11.0,433.3,386.0,311.0,74.9,47.4,69.2,15.0,54.2,19.8,52.0,21.3,37.9,35.7,,1.5,2.1,5.0,30.4,61.4,195760.0,2767.0
1966-03-31,607.9,545.2,3242.8,475.0,58.3,10.7,437.0,389.2,313.5,75.7,47.8,69.9,14.8,55.1,19.8,52.5,21.1,38.1,35.9,,1.6,2.0,5.1,30.5,62.7,195915.0,2783.0
1966-04-30,609.5,545.0,3230.5,476.9,56.0,10.3,440.9,392.7,316.6,76.1,48.1,67.6,13.0,54.6,19.8,53.0,21.0,37.9,35.8,,1.5,1.9,5.1,30.7,64.5,196089.0,2779.0
1966-05-31,612.2,546.5,3235.7,473.1,61.3,11.2,444.0,395.5,318.6,76.9,48.5,66.9,12.6,54.3,19.8,53.5,20.8,38.0,35.9,,2.0,1.8,4.2,30.8,65.7,196275.0,2785.0
1966-06-30,616.7,550.2,3249.2,475.5,62.5,11.4,448.4,399.5,321.9,77.6,48.9,67.0,12.4,54.7,19.8,54.0,20.8,37.8,35.7,,2.0,1.7,4.0,31.0,66.6,196466.0,2800.0
1966-07-31,620.4,553.1,3260.4,480.6,60.3,10.9,452.6,403.4,324.4,79.0,49.3,66.9,12.4,54.5,20.0,54.4,20.5,37.7,35.6,0.1,1.8,1.8,4.1,31.8,67.3,196661.0,2813.0
1966-08-31,625.9,558.1,3277.2,483.2,62.7,11.2,455.9,406.4,326.6,79.8,49.5,67.2,12.3,54.9,20.0,55.0,20.5,39.4,37.3,1.3,2.0,2.1,3.9,31.9,67.8,196873.0,2835.0
1966-09-30,631.7,563.2,3296.6,489.2,61.7,11.0,458.5,408.7,328.0,80.6,49.8,67.4,12.2,55.2,20.0,55.5,20.6,41.7,39.6,2.2,1.9,1.8,5.2,32.0,68.5,197096.0,2858.0
1966-10-31,636.0,566.5,3307.3,488.3,65.8,11.6,461.7,411.7,330.5,81.2,50.1,67.7,12.2,55.5,20.0,56.2,20.6,41.9,39.8,2.6,1.9,1.7,5.2,32.1,69.5,197303.0,2871.0
1966-11-30,640.9,570.0,3322.5,490.1,67.4,11.8,464.0,413.7,331.7,82.0,50.4,68.2,12.3,56.0,20.0,56.7,20.6,43.5,41.4,2.8,2.4,1.9,5.5,32.2,70.9,197485.0,2886.0
1966-12-31,642.0,570.7,3319.6,491.8,66.2,11.6,465.7,415.1,332.4,82.7,50.5,68.5,12.2,56.3,20.0,57.2,18.8,44.1,42.0,3.2,2.3,2.0,5.4,32.3,71.3,197654.0,2887.0
1967-01-31,648.0,576.6,3353.7,494.2,69.6,12.1,469.2,418.2,335.2,83.0,51.0,69.1,12.2,56.9,20.3,57.5,20.7,44.9,42.8,3.5,2.1,2.0,5.7,33.6,71.5,197814.0,2915.0
1967-02-28,649.6,578.4,3360.2,493.0,72.6,12.6,469.4,418.3,334.8,83.5,51.1,68.8,11.9,56.9,20.3,57.8,21.0,45.9,43.7,3.8,2.1,2.1,6.2,33.6,71.2,197965.0,2922.0
1967-03-31,653.9,583.0,3385.5,495.8,74.4,12.8,471.5,420.1,336.2,83.9,51.4,68.8,11.7,57.2,20.3,58.2,21.4,47.5,45.3,4.1,2.5,2.2,6.7,33.7,70.8,198122.0,2943.0
1967-04-30,654.4,583.8,3384.5,501.3,69.2,11.9,473.5,421.8,337.4,84.5,51.7,68.1,11.1,57.0,20.4,58.5,21.6,46.9,44.7,4.3,2.5,2.3,5.4,34.4,70.6,198287.0,2944.0
1967-05-31,656.9,586.1,3391.3,502.2,70.5,12.0,474.7,422.7,337.8,84.9,52.0,68.5,11.1,57.4,20.4,58.8,21.8,47.2,45.0,4.5,2.5,2.3,5.2,34.5,70.8,198452.0,2953.0
1967-06-30,661.6,590.2,3403.8,506.8,70.0,11.9,478.7,426.3,340.7,85.6,52.4,69.0,11.2,57.7,20.4,59.1,21.7,47.6,45.3,4.7,2.6,2.3,5.2,34.8,71.4,198627.0,2971.0
1967-07-31,667.2,594.5,3417.4,506.7,74.8,12.6,481.9,429.1,342.8,86.3,52.8,70.1,11.9,58.3,20.4,59.4,22.0,48.4,46.1,4.9,2.6,2.4,5.4,35.0,72.7,198812.0,2990.0
1967-08-31,672.5,598.5,3429.7,509.8,75.6,12.6,485.8,432.5,345.4,87.1,53.3,70.6,12.0,58.6,20.4,59.8,22.2,49.0,46.7,5.1,3.1,2.4,5.3,35.3,74.0,199012.0,3007.0
1967-09-30,675.0,600.2,3429.3,515.6,71.5,11.9,488.1,434.4,346.5,87.9,53.7,70.8,12.0,58.8,20.4,60.3,22.1,48.8,46.5,5.2,3.0,2.2,5.2,35.4,74.8,199212.0,3013.0
1967-10-31,677.8,602.8,3434.5,512.2,77.5,12.9,490.6,436.6,347.1,89.5,54.0,69.9,11.6,58.3,20.3,60.9,22.0,49.6,47.2,5.3,3.2,2.2,5.2,35.6,75.0,199405.0,3023.0
1967-11-30,684.4,608.5,3455.3,517.4,77.9,12.8,496.7,442.0,351.7,90.4,54.7,69.9,11.5,58.4,20.3,61.4,21.9,50.1,47.7,5.4,3.2,2.2,5.4,36.0,75.9,199578.0,3049.0
1967-12-31,687.4,610.5,3461.6,525.1,72.2,11.8,501.4,446.1,354.7,91.4,55.2,70.2,11.5,58.7,20.3,61.8,19.7,50.4,48.0,5.5,3.2,2.2,5.6,36.5,76.8,199733.0,3057.0
1968-01-31,694.3,616.7,3480.2,530.9,72.4,11.7,504.9,448.9,357.2,91.7,56.1,71.0,11.6,59.4,20.1,62.0,22.4,51.3,48.8,5.5,3.6,2.3,5.8,37.3,77.7,199864.0,3085.0
1968-02-29,702.5,623.6,3505.4,533.6,76.6,12.3,511.9,455.2,362.4,92.8,56.7,71.6,11.6,60.0,20.1,62.4,22.6,51.5,49.0,5.6,3.4,2.3,5.9,37.6,78.8,199988.0,3118.0
1968-03-31,710.8,631.6,3538.4,544.3,73.6,11.7,515.8,458.6,364.7,93.8,57.2,72.5,11.6,60.9,20.1,62.9,22.9,54.5,51.9,5.7,3.7,2.3,5.7,37.9,79.2,200132.0,3156.0
1968-04-30,716.2,635.7,3550.7,544.0,78.0,12.3,519.0,461.4,367.1,94.3,57.5,72.6,11.2,61.3,20.1,63.7,23.2,55.9,53.2,5.7,4.3,2.1,5.7,38.2,80.5,200285.0,3174.0
1968-05-31,722.6,640.7,3565.2,549.8,77.0,12.0,524.3,466.2,371.0,95.2,58.1,73.2,11.2,62.0,20.1,64.2,23.4,55.8,53.1,5.8,3.9,2.1,5.8,38.5,81.9,200449.0,3196.0
1968-06-30,728.3,645.6,3581.3,556.3,75.4,11.7,528.7,470.1,374.0,96.1,58.6,73.7,11.3,62.5,20.1,64.8,23.5,56.1,53.3,5.8,4.0,2.1,5.7,38.6,82.6,200621.0,3218.0
1968-07-31,735.0,646.3,3573.9,563.2,68.8,10.7,533.5,474.5,376.4,98.1,59.0,74.5,11.6,62.9,20.2,65.3,23.8,56.6,53.8,5.9,3.9,2.2,5.7,38.9,88.7,200802.0,3219.0
1968-08-31,741.4,649.8,3578.5,567.0,68.3,10.5,537.6,478.1,379.3,98.8,59.5,75.0,11.8,63.2,20.2,66.0,24.0,57.7,54.8,6.0,4.1,2.2,5.9,39.1,91.6,200997.0,3233.0
1968-09-30,747.4,652.1,3578.9,568.2,69.3,10.6,542.4,482.4,383.1,99.3,60.0,75.4,11.9,63.4,20.2,66.8,24.1,57.8,54.8,6.0,4.1,2.3,5.9,39.2,95.3,201193.0,3241.0
1968-10-31,752.0,657.3,3591.7,571.6,71.0,10.8,545.9,485.6,386.0,99.5,60.3,75.5,12.0,63.4,20.0,67.5,24.2,58.3,55.3,6.1,4.3,2.2,6.0,39.4,94.7,201378.0,3264.0
1968-11-30,758.0,662.0,3605.1,576.7,70.5,10.6,550.8,489.9,389.8,100.0,60.9,75.4,12.0,63.4,20.0,68.4,24.3,58.7,55.7,6.2,4.3,2.2,6.0,39.8,96.0,201544.0,3285.0
1968-12-31,762.6,665.7,3617.6,576.5,74.2,11.1,554.3,492.8,392.3,100.6,61.4,75.6,12.0,63.7,20.0,69.5,24.0,59.1,56.0,6.3,4.3,2.2,6.0,39.9,96.9,201691.0,3300.0
